language,date,condition,speaker,duration,start,end,IOI
Japanese,20250515,conv,3,0.181593375,29.7899887,29.97158207,5.506808837
Japanese,20250515,conv,3,0.124432984,29.97158207,30.09601505,8.036454413
Japanese,20250515,conv,3,0.119824355,30.09601505,30.21583941,8.345548814
Japanese,20250515,conv,3,0.145171814,30.21583941,30.36101122,6.888389497
Japanese,20250515,conv,3,0.384820523,30.36101122,30.74583175,2.598614002
Japanese,20250515,conv,3,0.126140428,30.92095965,31.04710008,7.927672506
Japanese,20250515,conv,3,0.119824355,31.04710008,31.16692443,8.345548814
Japanese,20250515,conv,3,0.184345161,31.16692443,31.35126959,5.424606729
Japanese,20250515,conv,3,0.110607097,31.35126959,31.46187669,9.041011215
Japanese,20250515,conv,3,0.112911411,31.46187669,31.5747881,8.856500782
Japanese,20250515,conv,3,0.149780443,31.5747881,31.72456854,6.676439051
Japanese,20250515,conv,3,0.101389838,31.72456854,31.82595838,9.862921325
Japanese,20250515,conv,3,0.221214193,31.82595838,32.04717257,4.520505608
Japanese,20250515,conv,3,0.114813152,32.46487437,32.57968752,8.709803566
Japanese,20250515,conv,3,0.13941597,32.57968752,32.71910349,7.172779407
Japanese,20250515,conv,3,0.304102548,32.71910349,33.02320604,3.288364426
Japanese,20250515,conv,3,0.252588934,33.40817688,33.66076582,3.959001621
Japanese,20250515,conv,3,0.159098225,33.66076582,33.81986404,6.285425254
Japanese,20250515,conv,3,0.111532776,33.81986404,33.93139682,8.965974259
Japanese,20250515,conv,3,0.098411273,33.93139682,34.02980809,10.16143749
Japanese,20250515,conv,3,0.095130897,34.02980809,34.12493899,10.51183189
Japanese,20250515,conv,3,0.127934655,34.12493899,34.25287364,7.81649038
Japanese,20250515,conv,3,0.140255399,34.25287364,34.39312904,7.129850308
Japanese,20250515,conv,3,0.137775782,34.39312904,34.53090482,7.258169638
Japanese,20250515,conv,3,0.28446938,34.53090482,34.8153742,3.515316834
Japanese,20250515,conv,3,0.301098421,34.8153742,35.11647262,3.321173182
Japanese,20250515,conv,3,0.402908678,35.77385113,36.17675981,2.481952002
Japanese,20250515,conv,3,0.207952866,36.37383438,36.58178725,4.808782004
Japanese,20250515,conv,3,0.225140744,36.58178725,36.80692799,4.441666064
Japanese,20250515,conv,3,0.334127457,36.80692799,37.14105545,2.992869875
