time,f0,dt,df0,f0stab,speaker,date,condition,gender
0.109750567,204.6747784,0.004988662,-2861.672087,-2861.672087,3,20250515,conv,female
0.114739229,204.6747784,0.004988662,-3086.281039,-3086.281039,3,20250515,conv,female
0.119727891,204.6747784,0.004988662,-3129.855575,-3129.855575,3,20250515,conv,female
0.124716553,204.6747784,0.004988662,-3008.578009,-3008.578009,3,20250515,conv,female
0.129705215,204.6747784,0.004988662,-2768.982736,-2768.982736,3,20250515,conv,female
0.134693878,204.6747784,0.004988662,-2471.115845,-2471.115845,3,20250515,conv,female
0.13968254,203.4959384,0.004988662,-2170.206,-2170.206,3,20250515,conv,female
0.144671202,202.3238881,0.004988662,-1903.998988,-1903.998988,3,20250515,conv,female
0.149659864,201.1585882,0.004988662,-1689.080378,-1689.080378,3,20250515,conv,female
0.154648526,198.8480848,0.004988662,-1524.990648,-1524.990648,3,20250515,conv,female
0.159637188,200,0.004988662,-1402.09182,-1402.09182,3,20250515,conv,female
0.16462585,198.8480848,0.004988662,-1308.906256,-1308.906256,3,20250515,conv,female
0.169614512,197.7028041,0.004988662,-1236.36676,-1236.36676,3,20250515,conv,female
0.174603175,197.7028041,0.004988662,-1178.666452,-1178.666452,3,20250515,conv,female
0.179591837,197.7028041,0.004988662,-1131.951992,-1131.951992,3,20250515,conv,female
0.184580499,196.5641197,0.004988662,-1092.510721,-1092.510721,3,20250515,conv,female
0.189569161,195.4319937,0.004988662,-1055.616346,-1055.616346,3,20250515,conv,female
0.194557823,195.4319937,0.004988662,-1015.392375,-1015.392375,3,20250515,conv,female
0.199546485,194.3063882,0.004988662,-965.4086892,-965.4086892,3,20250515,conv,female
0.204535147,194.3063882,0.004988662,-899.4390304,-899.4390304,3,20250515,conv,female
0.20952381,193.1872658,0.004988662,-811.821739,-811.821739,3,20250515,conv,female
0.214512472,193.1872658,0.004988662,-697.0461656,-697.0461656,3,20250515,conv,female
0.219501134,192.074589,0.004988662,-548.4640098,-548.4640098,3,20250515,conv,female
0.224489796,192.074589,0.004988662,-356.4265171,-356.4265171,3,20250515,conv,female
0.229478458,192.074589,0.004988662,-106.6929304,-106.6929304,3,20250515,conv,female
0.23446712,192.074589,0.004988662,219.5113701,-219.5113701,3,20250515,conv,female
0.239455782,193.1872658,0.004988662,642.2721314,-642.2721314,3,20250515,conv,female
0.244444444,192.074589,0.004988662,1175.805356,-1175.805356,3,20250515,conv,female
0.249433107,192.074589,0.004988662,1818.267501,-1818.267501,3,20250515,conv,female
0.254421769,192.074589,0.004988662,2541.779425,-2541.779425,3,20250515,conv,female
0.259410431,193.1872658,0.004988662,3287.506333,-3287.506333,3,20250515,conv,female
0.264399093,193.1872658,0.004988662,3970.249762,-3970.249762,3,20250515,conv,female
0.269387755,193.1872658,0.06984127,4494.007689,-4494.007689,3,20250515,conv,female
0.339229025,220.6357644,0.004988662,4775.225707,-4775.225707,3,20250515,conv,female
0.344217687,220.6357644,0.004988662,4766.251424,-4766.251424,3,20250515,conv,female
0.349206349,220.6357644,0.004988662,4470.278622,-4470.278622,3,20250515,conv,female
0.354195011,221.9138944,0.004988662,3941.89815,-3941.89815,3,20250515,conv,female
0.359183673,221.9138944,0.004988662,3273.046751,-3273.046751,3,20250515,conv,female
0.364172336,220.6357644,0.004988662,2569.766428,-2569.766428,3,20250515,conv,female
0.369160998,220.6357644,0.004988662,1927.959869,-1927.959869,3,20250515,conv,female
0.37414966,221.9138944,0.004988662,1415.272457,-1415.272457,3,20250515,conv,female
0.379138322,221.9138944,0.004988662,1062.595949,-1062.595949,3,20250515,conv,female
0.384126984,220.6357644,0.004988662,864.8426604,-864.8426604,3,20250515,conv,female
0.389115646,219.3649959,0.004988662,788.3946515,-788.3946515,3,20250515,conv,female
0.394104308,219.3649959,0.004988662,782.2691809,-782.2691809,3,20250515,conv,female
0.399092971,219.3649959,0.159637188,790.6129556,-790.6129556,3,20250515,conv,female
0.558730159,228.4164679,0.004988662,764.5807237,-764.5807237,3,20250515,conv,female
0.563718821,228.4164679,0.004988662,671.685107,-671.685107,3,20250515,conv,female
0.568707483,227.1008858,0.004988662,500.8292566,-500.8292566,3,20250515,conv,female
0.573696145,225.792881,0.004988662,262.0375435,-262.0375435,3,20250515,conv,female
0.578684807,225.792881,0.004988662,-18.64000804,-18.64000804,3,20250515,conv,female
0.583673469,225.792881,0.004988662,-307.1365828,-307.1365828,3,20250515,conv,female
0.588662132,224.4924097,0.004988662,-569.7412227,-569.7412227,3,20250515,conv,female
0.593650794,224.4924097,0.004988662,-779.7048074,-779.7048074,3,20250515,conv,female
0.598639456,221.9138944,0.004988662,-921.0177009,-921.0177009,3,20250515,conv,female
0.603628118,220.6357644,0.004988662,-989.3425,-989.3425,3,20250515,conv,female
0.60861678,219.3649959,0.004988662,-990.6819358,-990.6819358,3,20250515,conv,female
0.613605442,219.3649959,0.004988662,-938.5327136,-938.5327136,3,20250515,conv,female
0.618594104,219.3649959,0.004988662,-850.2838712,-850.2838712,3,20250515,conv,female
0.623582766,219.3649959,0.004988662,-743.6336236,-743.6336236,3,20250515,conv,female
0.628571429,219.3649959,0.004988662,-633.7633169,-633.7633169,3,20250515,conv,female
0.633560091,218.1015465,0.004988662,-531.7723554,-531.7723554,3,20250515,conv,female
0.638548753,218.1015465,0.004988662,-444.4315805,-444.4315805,3,20250515,conv,female
0.643537415,218.1015465,0.004988662,-374.8460496,-374.8460496,3,20250515,conv,female
0.648526077,218.1015465,0.004988662,-323.3963482,-323.3963482,3,20250515,conv,female
0.653514739,218.1015465,0.004988662,-288.4670346,-288.4670346,3,20250515,conv,female
0.658503401,218.1015465,0.004988662,-266.8481687,-266.8481687,3,20250515,conv,female
0.663492063,218.1015465,0.004988662,-254.0385572,-254.0385572,3,20250515,conv,female
0.668480726,218.1015465,0.004988662,-244.76449,-244.76449,3,20250515,conv,female
0.673469388,216.8453741,0.004988662,-233.8303249,-233.8303249,3,20250515,conv,female
0.67845805,216.8453741,0.004988662,-217.1078353,-217.1078353,3,20250515,conv,female
0.683446712,216.8453741,0.004988662,-192.2824846,-192.2824846,3,20250515,conv,female
0.688435374,216.8453741,0.004988662,-159.0402254,-159.0402254,3,20250515,conv,female
0.693424036,216.8453741,0.004988662,-118.6536928,-118.6536928,3,20250515,conv,female
0.698412698,216.8453741,0.004988662,-73.23242852,-73.23242852,3,20250515,conv,female
0.703401361,216.8453741,0.004988662,-25.04905021,-25.04905021,3,20250515,conv,female
0.708390023,216.8453741,0.004988662,23.74104392,-23.74104392,3,20250515,conv,female
0.713378685,216.8453741,0.004988662,70.93796032,-70.93796032,3,20250515,conv,female
0.718367347,216.8453741,0.004988662,113.9250398,-113.9250398,3,20250515,conv,female
0.723356009,216.8453741,0.004988662,149.4469561,-149.4469561,3,20250515,conv,female
0.728344671,216.8453741,0.004988662,173.8117162,-173.8117162,3,20250515,conv,female
0.733333333,218.1015465,0.004988662,183.5463298,-183.5463298,3,20250515,conv,female
0.738321995,218.1015465,0.004988662,176.2821542,-176.2821542,3,20250515,conv,female
0.743310658,218.1015465,0.004988662,151.5246718,-151.5246718,3,20250515,conv,female
0.74829932,218.1015465,0.004988662,111.0262975,-111.0262975,3,20250515,conv,female
0.753287982,218.1015465,0.004988662,58.66636172,-58.66636172,3,20250515,conv,female
0.758276644,218.1015465,0.004988662,-0.077545156,-0.077545156,3,20250515,conv,female
0.763265306,218.1015465,0.004988662,-58.90509765,-58.90509765,3,20250515,conv,female
0.768253968,218.1015465,0.004988662,-111.5798831,-111.5798831,3,20250515,conv,female
0.77324263,218.1015465,0.004988662,-152.8428206,-152.8428206,3,20250515,conv,female
0.778231293,216.8453741,0.004988662,-179.266457,-179.266457,3,20250515,conv,female
0.783219955,216.8453741,0.004988662,-189.9047845,-189.9047845,3,20250515,conv,female
0.788208617,216.8453741,0.004988662,-186.5464167,-186.5464167,3,20250515,conv,female
0.793197279,216.8453741,0.004988662,-173.422961,-173.422961,3,20250515,conv,female
0.798185941,216.8453741,0.004988662,-156.3704608,-156.3704608,3,20250515,conv,female
0.803174603,216.8453741,0.004988662,-141.6207591,-141.6207591,3,20250515,conv,female
0.808163265,216.8453741,0.004988662,-134.5166924,-134.5166924,3,20250515,conv,female
0.813151927,216.8453741,0.004988662,-138.4503655,-138.4503655,3,20250515,conv,female
0.81814059,216.8453741,0.004988662,-154.2383458,-154.2383458,3,20250515,conv,female
0.823129252,216.8453741,0.004988662,-180.0278426,-180.0278426,3,20250515,conv,female
0.828117914,216.8453741,0.004988662,-211.7159214,-211.7159214,3,20250515,conv,female
0.833106576,216.8453741,0.004988662,-243.7670607,-243.7670607,3,20250515,conv,female
0.838095238,215.5964366,0.004988662,-270.2292112,-270.2292112,3,20250515,conv,female
0.8430839,215.5964366,0.004988662,-285.6910846,-285.6910846,3,20250515,conv,female
0.848072562,215.5964366,0.004988662,-285.9295768,-285.9295768,3,20250515,conv,female
0.853061224,215.5964366,0.004988662,-268.0892645,-268.0892645,3,20250515,conv,female
0.858049887,214.3546925,0.004988662,-230.3956608,-230.3956608,3,20250515,conv,female
0.863038549,215.5964366,0.004988662,-171.5693612,-171.5693612,3,20250515,conv,female
0.868027211,214.3546925,0.004988662,-90.21440303,-90.21440303,3,20250515,conv,female
0.873015873,214.3546925,0.004988662,15.53169508,-15.53169508,3,20250515,conv,female
0.878004535,215.5964366,0.004988662,147.8692736,-147.8692736,3,20250515,conv,female
0.882993197,214.3546925,0.004988662,308.6422317,-308.6422317,3,20250515,conv,female
0.887981859,214.3546925,0.004988662,498.1594285,-498.1594285,3,20250515,conv,female
0.892970522,215.5964366,0.004988662,713.8025231,-713.8025231,3,20250515,conv,female
0.897959184,215.5964366,0.004988662,948.8614723,-948.8614723,3,20250515,conv,female
0.902947846,216.8453741,0.004988662,1192.109602,-1192.109602,3,20250515,conv,female
0.907936508,216.8453741,0.004988662,1428.504969,-1428.504969,3,20250515,conv,female
0.91292517,216.8453741,0.259410431,1641.049182,-1641.049182,3,20250515,conv,female
1.172335601,223.1994285,0.004988662,1813.35574,-1813.35574,3,20250515,conv,female
1.177324263,223.1994285,0.004988662,1932.121339,-1932.121339,3,20250515,conv,female
1.182312925,224.4924097,0.004988662,1988.704455,-1988.704455,3,20250515,conv,female
1.187301587,225.792881,0.004988662,1979.45513,-1979.45513,3,20250515,conv,female
1.192290249,225.792881,0.004988662,1905.077998,-1905.077998,3,20250515,conv,female
1.197278912,228.4164679,0.004988662,1769.743952,-1769.743952,3,20250515,conv,female
1.202267574,231.0705394,0.004988662,1580.60075,-1580.60075,3,20250515,conv,female
1.207256236,231.0705394,0.004988662,1347.818517,-1347.818517,3,20250515,conv,female
1.212244898,232.4091174,0.004988662,1084.717989,-1084.717989,3,20250515,conv,female
1.21723356,232.4091174,0.004988662,807.2970489,-807.2970489,3,20250515,conv,female
1.222222222,232.4091174,0.004988662,532.7610567,-532.7610567,3,20250515,conv,female
1.227210884,231.0705394,0.004988662,277.2668376,-277.2668376,3,20250515,conv,female
1.232199546,231.0705394,0.004988662,53.59487921,-53.59487921,3,20250515,conv,female
1.237188209,231.0705394,0.004988662,-130.4472924,-130.4472924,3,20250515,conv,female
1.242176871,231.0705394,0.004988662,-272.4314718,-272.4314718,3,20250515,conv,female
1.247165533,229.739671,0.004988662,-374.5872681,-374.5872681,3,20250515,conv,female
1.252154195,229.739671,0.004988662,-442.3966306,-442.3966306,3,20250515,conv,female
1.257142857,229.739671,0.004988662,-483.0242221,-483.0242221,3,20250515,conv,female
1.262131519,228.4164679,0.004988662,-503.9330166,-503.9330166,3,20250515,conv,female
1.267120181,228.4164679,0.004988662,-511.8078001,-511.8078001,3,20250515,conv,female
1.272108844,228.4164679,0.004988662,-511.7861489,-511.7861489,3,20250515,conv,female
1.277097506,228.4164679,0.004988662,-507.0022112,-507.0022112,3,20250515,conv,female
1.282086168,228.4164679,0.004988662,-498.4986373,-498.4986373,3,20250515,conv,female
1.28707483,227.1008858,0.004988662,-485.5588179,-485.5588179,3,20250515,conv,female
1.292063492,225.792881,0.004988662,-466.4382773,-466.4382773,3,20250515,conv,female
1.297052154,227.1008858,0.004988662,-439.3826197,-439.3826197,3,20250515,conv,female
1.302040816,227.1008858,0.004988662,-403.7660919,-403.7660919,3,20250515,conv,female
1.307029478,225.792881,0.004988662,-361.1739316,-361.1739316,3,20250515,conv,female
1.312018141,225.792881,0.004988662,-316.2546887,-316.2546887,3,20250515,conv,female
1.317006803,224.4924097,0.004988662,-277.1898232,-277.1898232,3,20250515,conv,female
1.321995465,225.792881,0.004988662,-255.7071751,-255.7071751,3,20250515,conv,female
1.326984127,225.792881,0.004988662,-266.7494921,-266.7494921,3,20250515,conv,female
1.331972789,225.792881,0.004988662,-328.0709414,-328.0709414,3,20250515,conv,female
1.336961451,227.1008858,0.004988662,-460.0142106,-460.0142106,3,20250515,conv,female
1.341950113,225.792881,0.004988662,-685.354298,-685.354298,3,20250515,conv,female
1.346938776,225.792881,0.004988662,-1028.543599,-1028.543599,3,20250515,conv,female
1.351927438,224.4924097,0.004988662,-1513.465283,-1513.465283,3,20250515,conv,female
1.3569161,224.4924097,0.004988662,-2159.557368,-2159.557368,3,20250515,conv,female
1.361904762,224.4924097,0.004988662,-2978.152424,-2978.152424,3,20250515,conv,female
1.366893424,223.1994285,0.004988662,-3973.458662,-3973.458662,3,20250515,conv,female
1.371882086,221.9138944,0.004988662,-5153.977477,-5153.977477,3,20250515,conv,female
1.376870748,219.3649959,0.004988662,-6558.02709,-6558.02709,3,20250515,conv,female
1.38185941,219.3649959,0.039909297,-8289.914888,-8289.914888,3,20250515,conv,female
1.421768707,190.9683208,0.004988662,-10552.18711,-10552.18711,3,20250515,conv,female
1.42675737,188.7748625,0.004988662,-13648.86615,-13648.86615,3,20250515,conv,female
1.431746032,188.7748625,0.004988662,-17932.09827,-17932.09827,3,20250515,conv,female
1.436734694,184.4632387,0.004988662,-23677.26033,-23677.26033,3,20250515,conv,female
1.441723356,184.4632387,0.004988662,-30900.98504,-30900.98504,3,20250515,conv,female
1.446712018,183.4008086,0.004988662,-39174.62661,-39174.62661,3,20250515,conv,female
1.45170068,183.4008086,0.004988662,-47514.54325,-47514.54325,3,20250515,conv,female
1.456689342,181.2942707,0.004988662,-54429.76265,-54429.76265,3,20250515,conv,female
1.461678005,180.2500925,0.578684807,-58166.3992,-58166.3992,3,20250515,conv,female
2.040362812,25.14482353,0.004988662,-57115.92236,-57115.92236,3,20250515,conv,female
2.045351474,25.4369923,0.004988662,-50280.07234,-50280.07234,3,20250515,conv,female
2.050340136,25.73255592,0.004988662,-37644.11366,-37644.11366,3,20250515,conv,female
2.055328798,26.03155381,0.004988662,-20324.3144,-20324.3144,3,20250515,conv,female
2.06031746,25.29048601,0.004988662,-421.8399194,-421.8399194,3,20250515,conv,female
2.065306122,25.5843473,0.004988662,19392.02422,-19392.02422,3,20250515,conv,female
2.070294785,25.4369923,1.471655329,36449.32297,-36449.32297,3,20250515,conv,female
3.541950113,183.4008086,0.004988662,48658.11447,-48658.11447,3,20250515,conv,female
3.546938776,180.2500925,0.004988662,54915.67081,-54915.67081,3,20250515,conv,female
3.551927438,178.1797436,0.004988662,55254.0057,-55254.0057,3,20250515,conv,female
3.5569161,179.2119284,0.004988662,50694.63029,-50694.63029,3,20250515,conv,female
3.561904762,178.1797436,0.004988662,42880.73983,-42880.73983,3,20250515,conv,female
3.566893424,177.1535038,0.004988662,33618.85662,-33618.85662,3,20250515,conv,female
3.571882086,177.1535038,0.004988662,24473.92282,-24473.92282,3,20250515,conv,female
3.576870748,175.1187223,0.004988662,16520.44872,-16520.44872,3,20250515,conv,female
3.58185941,175.1187223,0.004988662,10280.63587,-10280.63587,3,20250515,conv,female
3.586848073,174.1101127,0.004988662,5812.861678,-5812.861678,3,20250515,conv,female
3.591836735,174.1101127,0.004988662,2877.141775,-2877.141775,3,20250515,conv,female
3.596825397,173.1073122,0.004988662,1104.754684,-1104.754684,3,20250515,conv,female
3.601814059,173.1073122,0.004988662,125.1779437,-125.1779437,3,20250515,conv,female
3.606802721,173.1073122,0.004988662,-364.3533649,-364.3533649,3,20250515,conv,female
