StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Group,ID,renumbered ID,enjoyment_singing,trust_pre,enjoyment_speaking,same_team_pre,embarrassment_singing,similar_pre,embarrassment_speaking,ties_pre,common_pre,outgoing,closeness_pre,difficulty_post,trust_post,enjoyment_task_post,same_team_post,embarrassment_task_post,similar_post,follow_instruction_post,synchronization_post,ties_post,strongly agree,common_post,leader_post,closeness_post,public_goods_game,goal_experiment,difficulty_final,trust_final,enjoyment_task_final,same_time_final,embarrassment_task_final,similar_final,follow_instruction_final,synchronization_final,ties_final,common_final,leader_final,closeness_final,age,gender_choice,gender_other,native language,ethnicity,religious,city_experiment,birthplace,musicianship_self_perceived,musicianship_compliment,know_song,like_song,sing_regularly,singing_training,instrument_training,recoded_instrument_training,instrument,participant_met_number,rate_group_familiarity,comment
2025/5/19 17:31,2025/5/19 18:01,IP Address,202.36.244.2,100,1797,TRUE,2025/5/19 18:01,R_4oz5Enf8kvq6EoY,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,2,2,0,52,69,53,100,50,0,24,0,75,35,19,26,47,47,81,28,100,81,20,100,25,4,27,50.14,目的是研究大家在小组活动唱歌中的心理反应与变化，最后的结果将会把每个成员按照活动进行时的心理活动，进行分类，最后统计分类结果。,80,81,64,81,69,44,77,87,60,46,8,43,20,Man,,Chinese,中国人,无,新西兰奥克兰,中国内蒙古自治区呼和浩特市,26,60,100,66,7,0,15,15,马头琴,1,18,希望在后半段增多讨论沟通的时间
2025/5/19 17:31,2025/5/19 18:02,IP Address,202.36.244.46,100,1890,TRUE,2025/5/19 18:02,R_4MM48nr4AiENVLB,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,4,4,0,100,52,100,52,100,0,54,53,54,52,50,100,100,100,0,100,100,100,100,100,100,100,100,82.61,培养人和人之间的默契配合 和协作能力 我认为这是一个好的结果 通过简单的合唱让每个人都可以快速的融入这个集体,0,100,100,100,0,55,100,100,100,56,58,100,24,Man,,中文,中国人,,新西兰,中国,0,0,100,100,58,0,2,2,竹笛,0,,很完美的一项研究
2025/5/19 17:31,2025/5/19 18:03,IP Address,202.36.244.2,100,1913,TRUE,2025/5/19 18:03,R_42YgEaebKZuqsi0,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,7,7,100,62,68,54,42,51,53,53,53,52,49,52,100,73,88,51,54,100,71,51,100,34,49,51,50.16,探究同种语言的音乐形式能够拉近人与人之间的关系以及探究语言和音乐对集体感的影响，结果可能是正向影响,0,72,92,50,34,51,100,100,49,49,32,52,22,Man,,中文,中国人,无,新西兰奥克兰,中国山东青岛,79,100,100,51,100,0,8,8,葫芦丝 巴乌 单簧管 手风琴 钢琴 古筝,1,16,无
2025/5/19 17:31,2025/5/19 18:03,IP Address,202.36.244.12,100,1892,TRUE,2025/5/19 18:03,R_4aDQv1YETpGteJr,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,6,6,0,51,86,50,0,53,0,51,29,61,48,2,100,54,100,0,55,100,75,63,100,36,73,50,39.87,体现团队合作？结果看团队的配合程度,0,100,68,100,0,60,100,71,50,51,50,74,31,Man,,中文,中国人,无,新西兰奥克兰,中国浙江省衢州市,0,0,100,51,0,无,无,0,,1,0,无
2025/5/19 17:31,2025/5/19 18:03,IP Address,202.36.244.2,100,1970,TRUE,2025/5/19 18:03,R_4d1UyDOMGGFyURr,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,5,5,100,100,100,79,0,0,0,19,20,100,52,0,100,100,100,0,20,100,74,28,100,27,75,75,50.14,探究合唱对于在集体中个人定位感受的影响，以及集体中的个人贡献,0,100,100,100,0,100,100,100,91,90,74,86,26,Woman,,简体中文,中国人,无,新西兰奥克兰,中国长沙,11,40,100,100,100,0,0,0,0,0,,我觉得很有趣，但是读题时间感觉预留太久了，基本上大家都结束了还等很久才开始下一个部分。
2025/5/19 17:31,2025/5/19 18:04,IP Address,202.36.244.44,100,1983,TRUE,2025/5/19 18:04,R_4oAnvGrDn5VEwWH,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,1,1,64,50,44,100,44,82,82,93,91,20,46,52,91,99,99,18,100,88,78,99,100,95,98,56,70.38,团结以及传播文化，会非常完美,51,100,100,100,0,74,99,100,100,65,100,82,19,Woman,,中文,中国人,,新西兰,中国,59,38,100,100,99,0,0,0,,1,3,很棒的研究
2025/5/19 17:28,2025/5/19 18:04,IP Address,49.224.234.24,100,2124,TRUE,2025/5/19 18:04,R_9CMXg03RTC8M28D,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,S,3,3,100,100,100,89,3,89,2,50,93,100,55,0,90,100,90,2,79,100,98,67,100,66,60,50,50.21,同语言背景下陌生人之间的连结关系，不确定实验结果,1,83,100,98,2,63,100,87,80,87,59,52,30,Woman,,中文,中国人,无,新西兰奥克兰,中国榆林,53,80,100,100,28,无,无,0,无,0,,挺好玩的，可以多一点类似的实验。歌曲可以换个不是反复循环的歌词嘛
2025/5/19 18:46,2025/5/19 19:11,IP Address,202.36.244.6,100,1510,TRUE,2025/5/19 19:11,R_9smENMXyzxEEiab,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,R,6,9,52,99,22,100,5,51,38,55,54,13,0,4,100,51,100,0,47,100,82,52,100,54,85,29,0,我不清楚,0,100,75,100,0,51,50,100,53,1,66,30,18,Woman,,中国,中国人,,新西兰奥克兰,中国成都,50,73,100,77,78,,,0,,0,,没有
2025/5/19 18:36,2025/5/19 19:11,IP Address,161.29.92.17,100,2063,TRUE,2025/5/19 19:11,R_4td9IqqKU0o7rod,,,,,-36.8565,174.7516,qr,ZH-S,Yes - I want to continue on to the study questions,R,3,10,76,49,50,25,0,27,47,0,0,25,0,0,49,23,75,27,49,84,77,24,100,23,100,30,100,我认为是测试朗读和歌唱是否会对人之间的连接关系产生正面影响，我认为结果会证明其正面影响,0,50,48,81,0,18,100,81,48,19,75,51,18,Man,,汉语,中国人,无,新西兰 奥克兰,中国 大连,49,77,100,53,100,0,2,2,钢琴，架子鼓,0,,我认为第一个问题给的时间过长，让人不知道该干些什么，不确定是否是实验的一部分。
2025/5/19 18:36,2025/5/19 19:11,IP Address,202.36.244.18,100,2070,TRUE,2025/5/19 19:11,R_4YqSEcawW9T5zKV,,,,,-36.8504,174.7675,qr,ZH-S,Yes - I want to continue on to the study questions,R,1,12,70,96,98,100,0,55,10,51,53,97,54,50,100,52,50,54,53,100,100,75,100,56,78,48,50,目的是为了研究世界范围内音乐和语言的关系，结果可能是关联很紧密,75,100,53,54,82,55,100,93,51,56,58,52,23,Woman,,普通话,中国人,无,新西兰奥克兰,中国河北省秦皇岛市,4,6,100,52,29,0,3,3,钢琴,1,83,无
