time,f0,speaker,date,condition
4.74,183.734417,5,20240724,conversation
4.745,183.529872,5,20240724,conversation
4.75,182.951917,5,20240724,conversation
4.755,181.912649,5,20240724,conversation
4.76,180.622902,5,20240724,conversation
4.765,179.332376,5,20240724,conversation
4.77,178.161501,5,20240724,conversation
4.775,176.731758,5,20240724,conversation
4.78,175.73627,5,20240724,conversation
4.785,175.66482,5,20240724,conversation
4.79,176.470796,5,20240724,conversation
4.795,185.17087,5,20240724,conversation
4.8,212.528348,5,20240724,conversation
4.805,231.507675,5,20240724,conversation
4.81,242.402637,5,20240724,conversation
4.815,247.659613,5,20240724,conversation
4.82,250.708489,5,20240724,conversation
4.825,251.145645,5,20240724,conversation
4.83,249.213336,5,20240724,conversation
4.835,248.460275,5,20240724,conversation
4.84,250.408039,5,20240724,conversation
4.845,251.438669,5,20240724,conversation
4.85,250.691164,5,20240724,conversation
4.855,245.626989,5,20240724,conversation
4.86,245.506941,5,20240724,conversation
4.865,245.194456,5,20240724,conversation
4.87,241.642751,5,20240724,conversation
4.875,236.477855,5,20240724,conversation
4.88,235.275857,5,20240724,conversation
4.885,234.254301,5,20240724,conversation
4.89,233.824555,5,20240724,conversation
4.895,234.063565,5,20240724,conversation
4.9,256.585044,5,20240724,conversation
4.905,266.236007,5,20240724,conversation
4.91,265.454902,5,20240724,conversation
4.915,178.012916,5,20240724,conversation
4.92,178.292598,5,20240724,conversation
4.925,178.639372,5,20240724,conversation
4.93,178.683299,5,20240724,conversation
4.935,179.62979,5,20240724,conversation
4.94,182.331929,5,20240724,conversation
4.945,182.394859,5,20240724,conversation
4.95,181.190388,5,20240724,conversation
4.955,179.330544,5,20240724,conversation
4.985,295.855948,5,20240724,conversation
4.99,294.719351,5,20240724,conversation
4.995,293.268069,5,20240724,conversation
5,291.763598,5,20240724,conversation
5.005,290.215716,5,20240724,conversation
5.01,288.931523,5,20240724,conversation
5.015,288.236526,5,20240724,conversation
5.02,287.67214,5,20240724,conversation
5.025,286.575657,5,20240724,conversation
5.03,284.572828,5,20240724,conversation
5.035,281.42238,5,20240724,conversation
5.04,277.063749,5,20240724,conversation
5.045,271.888103,5,20240724,conversation
5.05,268.439736,5,20240724,conversation
5.055,267.509348,5,20240724,conversation
5.06,267.207398,5,20240724,conversation
5.065,266.898217,5,20240724,conversation
5.07,267.801349,5,20240724,conversation
5.075,269.487877,5,20240724,conversation
5.08,270.651767,5,20240724,conversation
5.085,271.250334,5,20240724,conversation
5.09,271.764032,5,20240724,conversation
5.095,271.984809,5,20240724,conversation
5.1,271.652022,5,20240724,conversation
5.105,270.847204,5,20240724,conversation
5.11,269.085728,5,20240724,conversation
5.115,265.385708,5,20240724,conversation
5.12,262.474688,5,20240724,conversation
5.125,263.411401,5,20240724,conversation
5.13,264.918422,5,20240724,conversation
5.135,265.638569,5,20240724,conversation
5.14,266.100228,5,20240724,conversation
5.145,267.178753,5,20240724,conversation
5.15,268.630826,5,20240724,conversation
5.155,267.848999,5,20240724,conversation
5.16,267.066536,5,20240724,conversation
5.165,266.863224,5,20240724,conversation
5.17,266.939526,5,20240724,conversation
5.175,267.071232,5,20240724,conversation
5.18,269.255714,5,20240724,conversation
5.185,299.798442,5,20240724,conversation
5.19,318.773986,5,20240724,conversation
5.195,323.512204,5,20240724,conversation
5.2,327.148764,5,20240724,conversation
5.205,328.282894,5,20240724,conversation
5.21,328.647647,5,20240724,conversation
5.215,329.422675,5,20240724,conversation
5.22,330.791308,5,20240724,conversation
5.225,331.257213,5,20240724,conversation
5.23,330.170145,5,20240724,conversation
5.235,328.578003,5,20240724,conversation
5.24,326.999175,5,20240724,conversation
5.245,325.341115,5,20240724,conversation
5.25,324.003954,5,20240724,conversation
5.255,323.35246,5,20240724,conversation
5.26,323.146979,5,20240724,conversation
5.265,322.928614,5,20240724,conversation
