time,f0,speaker,date,condition
14.744,206.123016,8,20240725,sing
14.749,200.766314,8,20240725,sing
14.754,199.417788,8,20240725,sing
14.759,198.926073,8,20240725,sing
14.764,198.72772,8,20240725,sing
14.769,198.990368,8,20240725,sing
14.774,200.117752,8,20240725,sing
14.779,201.717635,8,20240725,sing
14.784,203.020182,8,20240725,sing
14.789,203.809943,8,20240725,sing
14.794,204.818462,8,20240725,sing
14.799,206.678306,8,20240725,sing
14.804,209.492444,8,20240725,sing
14.809,213.174017,8,20240725,sing
14.814,215.715555,8,20240725,sing
14.819,216.95659,8,20240725,sing
14.824,217.408705,8,20240725,sing
14.829,216.409764,8,20240725,sing
14.834,210.962757,8,20240725,sing
14.839,207.321603,8,20240725,sing
14.844,207.552919,8,20240725,sing
14.849,205.635181,8,20240725,sing
14.854,201.606705,8,20240725,sing
14.859,198.684167,8,20240725,sing
14.864,197.761466,8,20240725,sing
14.869,199.410479,8,20240725,sing
14.874,201.031956,8,20240725,sing
14.879,201.65996,8,20240725,sing
14.884,202.035275,8,20240725,sing
14.889,202.257145,8,20240725,sing
15.019,227.0408,8,20240725,sing
15.024,226.737597,8,20240725,sing
15.029,223.823386,8,20240725,sing
15.034,221.795259,8,20240725,sing
15.039,219.762024,8,20240725,sing
15.044,216.718409,8,20240725,sing
15.049,212.126291,8,20240725,sing
15.054,208.156781,8,20240725,sing
15.059,207.453663,8,20240725,sing
15.064,209.02072,8,20240725,sing
15.069,210.611501,8,20240725,sing
15.074,210.408782,8,20240725,sing
15.079,209.111646,8,20240725,sing
15.084,208.674465,8,20240725,sing
15.089,209.049006,8,20240725,sing
15.094,209.461842,8,20240725,sing
15.099,209.17913,8,20240725,sing
15.104,208.107729,8,20240725,sing
15.109,207.104054,8,20240725,sing
15.114,206.850541,8,20240725,sing
15.119,207.248841,8,20240725,sing
15.124,207.920664,8,20240725,sing
15.129,208.563907,8,20240725,sing
15.134,208.970389,8,20240725,sing
15.139,209.106785,8,20240725,sing
15.144,209.035319,8,20240725,sing
15.149,208.800455,8,20240725,sing
15.154,208.644884,8,20240725,sing
15.159,209.024654,8,20240725,sing
