time,f0,dt,df0,f0stab,speaker,date,condition,gender
9.204,318.161976,0.005,7458.953868,-7458.953868,4,20240724,sing,female
9.209,320.319912,0.005,6781.236049,-6781.236049,4,20240724,sing,female
9.214,322.395901,0.005,5791.097737,-5791.097737,4,20240724,sing,female
9.219,324.019073,0.005,4644.248629,-4644.248629,4,20240724,sing,female
9.224,325.054217,0.005,3476.852721,-3476.852721,4,20240724,sing,female
9.229,325.409424,0.005,2390.515163,-2390.515163,4,20240724,sing,female
9.234,325.012077,0.005,1447.759674,-1447.759674,4,20240724,sing,female
9.239,323.97838,0.005,675.7478531,-675.7478531,4,20240724,sing,female
9.244,322.679149,0.005,74.55005932,-74.55005932,4,20240724,sing,female
9.249,321.226645,0.005,-373.5396173,-373.5396173,4,20240724,sing,female
9.254,319.677948,0.005,-695.8688075,-695.8688075,4,20240724,sing,female
9.259,318.355506,0.005,-923.191798,-923.191798,4,20240724,sing,female
9.264,317.428889,0.005,-1085.047102,-1085.047102,4,20240724,sing,female
9.269,316.866421,0.005,-1206.211662,-1206.211662,4,20240724,sing,female
9.274,316.410681,0.005,-1304.00421,-1304.00421,4,20240724,sing,female
9.279,315.505706,0.005,-1386.656638,-1386.656638,4,20240724,sing,female
9.284,313.633166,0.005,-1453.192774,-1453.192774,4,20240724,sing,female
9.289,311.624631,0.005,-1495.107417,-1495.107417,4,20240724,sing,female
9.294,309.826653,0.005,-1499.718933,-1499.718933,4,20240724,sing,female
9.299,307.66345,0.005,-1454.578589,-1454.578589,4,20240724,sing,female
9.304,305.594613,0.005,-1351.965493,-1351.965493,4,20240724,sing,female
9.309,304.008032,0.005,-1192.385405,-1192.385405,4,20240724,sing,female
9.314,302.699672,0.005,-986.1647481,-986.1647481,4,20240724,sing,female
9.319,301.686032,0.005,-752.6756204,-752.6756204,4,20240724,sing,female
9.324,301.428321,0.005,-517.3844783,-517.3844783,4,20240724,sing,female
9.329,303.369844,0.005,-307.6398934,-307.6398934,4,20240724,sing,female
9.334,306.062116,0.005,-148.6544205,-148.6544205,4,20240724,sing,female
9.339,305.622647,0.005,-61.20593505,-61.20593505,4,20240724,sing,female
9.344,305.260274,0.005,-62.00292954,-62.00292954,4,20240724,sing,female
9.349,304.896174,0.005,-166.4818399,-166.4818399,4,20240724,sing,female
9.354,304.935857,0.005,-392.3596796,-392.3596796,4,20240724,sing,female
9.359,306.070477,0.005,-761.0990345,-761.0990345,4,20240724,sing,female
9.364,306.618112,0.005,-1294.207128,-1294.207128,4,20240724,sing,female
9.369,304.662887,0.005,-2002.564538,-2002.564538,4,20240724,sing,female
9.374,301.614342,0.005,-2869.93393,-2869.93393,4,20240724,sing,female
9.379,302.146366,0.005,-3835.755841,-3835.755841,4,20240724,sing,female
9.384,304.930529,0.005,-4785.554165,-4785.554165,4,20240724,sing,female
9.389,305.637697,0.005,-5557.459218,-5557.459218,4,20240724,sing,female
9.394,305.913007,0.02,-5969.035663,-5969.035663,4,20240724,sing,female
9.414,244.671689,0.005,-5860.584571,-5860.584571,4,20240724,sing,female
9.419,243.776037,0.005,-5142.774016,-5142.774016,4,20240724,sing,female
9.424,244.72453,0.005,-3832.256888,-3832.256888,4,20240724,sing,female
9.429,247.443897,0.005,-2061.585749,-2061.585749,4,20240724,sing,female
9.434,251.594948,0.005,-58.36956257,-58.36956257,4,20240724,sing,female
9.439,255.347505,0.005,1900.788105,-1900.788105,4,20240724,sing,female
9.444,260.541627,0.005,3548.170188,-3548.170188,4,20240724,sing,female
9.449,279.478965,0.005,4678.839152,-4678.839152,4,20240724,sing,female
9.454,300.485932,0.005,5187.560482,-5187.560482,4,20240724,sing,female
9.459,304.176213,0.005,5081.685277,-5081.685277,4,20240724,sing,female
9.464,305.20527,0.005,4469.521406,-4469.521406,4,20240724,sing,female
9.469,304.515757,0.005,3529.36306,-3529.36306,4,20240724,sing,female
9.474,302.109454,0.005,2468.102939,-2468.102939,4,20240724,sing,female
9.479,298.489579,0.005,1479.678197,-1479.678197,4,20240724,sing,female
9.484,294.34158,0.005,712.3313824,-712.3313824,4,20240724,sing,female
9.489,290.312634,0.005,250.2699956,-250.2699956,4,20240724,sing,female
9.494,288.203068,0.005,110.9417741,-110.9417741,4,20240724,sing,female
9.499,288.373048,0.005,255.2381126,-255.2381126,4,20240724,sing,female
9.504,289.692534,0.005,605.5693879,-605.5693879,4,20240724,sing,female
9.509,292.047438,0.005,1066.257819,-1066.257819,4,20240724,sing,female
9.514,295.579031,0.005,1541.714002,-1541.714002,4,20240724,sing,female
9.519,299.223739,0.005,1949.695347,-1949.695347,4,20240724,sing,female
9.524,302.196013,0.005,2228.861334,-2228.861334,4,20240724,sing,female
