time,f0,speaker,date,condition
9.204,318.161976,4,20240724,sing
9.209,320.319912,4,20240724,sing
9.214,322.395901,4,20240724,sing
9.219,324.019073,4,20240724,sing
9.224,325.054217,4,20240724,sing
9.229,325.409424,4,20240724,sing
9.234,325.012077,4,20240724,sing
9.239,323.97838,4,20240724,sing
9.244,322.679149,4,20240724,sing
9.249,321.226645,4,20240724,sing
9.254,319.677948,4,20240724,sing
9.259,318.355506,4,20240724,sing
9.264,317.428889,4,20240724,sing
9.269,316.866421,4,20240724,sing
9.274,316.410681,4,20240724,sing
9.279,315.505706,4,20240724,sing
9.284,313.633166,4,20240724,sing
9.289,311.624631,4,20240724,sing
9.294,309.826653,4,20240724,sing
9.299,307.66345,4,20240724,sing
9.304,305.594613,4,20240724,sing
9.309,304.008032,4,20240724,sing
9.314,302.699672,4,20240724,sing
9.319,301.686032,4,20240724,sing
9.324,301.428321,4,20240724,sing
9.329,303.369844,4,20240724,sing
9.334,306.062116,4,20240724,sing
9.339,305.622647,4,20240724,sing
9.344,305.260274,4,20240724,sing
9.349,304.896174,4,20240724,sing
9.354,304.935857,4,20240724,sing
9.359,306.070477,4,20240724,sing
9.364,306.618112,4,20240724,sing
9.369,304.662887,4,20240724,sing
9.374,301.614342,4,20240724,sing
9.379,302.146366,4,20240724,sing
9.384,304.930529,4,20240724,sing
9.389,305.637697,4,20240724,sing
9.394,305.913007,4,20240724,sing
9.414,244.671689,4,20240724,sing
9.419,243.776037,4,20240724,sing
9.424,244.72453,4,20240724,sing
9.429,247.443897,4,20240724,sing
9.434,251.594948,4,20240724,sing
9.439,255.347505,4,20240724,sing
9.444,260.541627,4,20240724,sing
9.449,279.478965,4,20240724,sing
9.454,300.485932,4,20240724,sing
9.459,304.176213,4,20240724,sing
9.464,305.20527,4,20240724,sing
9.469,304.515757,4,20240724,sing
9.474,302.109454,4,20240724,sing
9.479,298.489579,4,20240724,sing
9.484,294.34158,4,20240724,sing
9.489,290.312634,4,20240724,sing
9.494,288.203068,4,20240724,sing
9.499,288.373048,4,20240724,sing
9.504,289.692534,4,20240724,sing
9.509,292.047438,4,20240724,sing
9.514,295.579031,4,20240724,sing
9.519,299.223739,4,20240724,sing
9.524,302.196013,4,20240724,sing
9.529,305.266418,4,20240724,sing
9.534,309.208936,4,20240724,sing
9.539,313.326991,4,20240724,sing
9.544,315.869947,4,20240724,sing
9.549,316.419848,4,20240724,sing
9.554,315.589662,4,20240724,sing
9.559,314.244845,4,20240724,sing
9.564,313.070046,4,20240724,sing
9.569,312.055581,4,20240724,sing
9.574,310.330001,4,20240724,sing
9.579,306.693854,4,20240724,sing
9.584,300.228049,4,20240724,sing
9.589,293.232802,4,20240724,sing
9.594,289.196551,4,20240724,sing
9.599,285.758724,4,20240724,sing
9.604,282.449393,4,20240724,sing
9.609,281.558135,4,20240724,sing
9.614,282.849247,4,20240724,sing
9.619,284.575047,4,20240724,sing
9.624,285.119376,4,20240724,sing
9.629,285.300688,4,20240724,sing
9.634,286.676026,4,20240724,sing
9.639,289.133532,4,20240724,sing
9.644,292.148792,4,20240724,sing
9.649,295.307227,4,20240724,sing
9.654,297.231975,4,20240724,sing
9.659,297.816476,4,20240724,sing
9.664,298.128856,4,20240724,sing
9.669,299.117238,4,20240724,sing
9.674,301.015676,4,20240724,sing
9.679,302.928961,4,20240724,sing
9.684,304.049818,4,20240724,sing
9.689,304.347738,4,20240724,sing
9.694,303.913376,4,20240724,sing
9.699,302.47112,4,20240724,sing
9.704,299.495518,4,20240724,sing
9.709,293.90844,4,20240724,sing
9.714,287.153159,4,20240724,sing
9.719,282.897304,4,20240724,sing
9.724,280.621138,4,20240724,sing
9.729,279.654715,4,20240724,sing
9.734,283.834479,4,20240724,sing
9.739,289.888366,4,20240724,sing
9.744,291.033511,4,20240724,sing
9.749,282.521164,4,20240724,sing
9.754,253.720154,4,20240724,sing
9.759,255.015057,4,20240724,sing
9.764,257.022109,4,20240724,sing
9.769,257.936069,4,20240724,sing
9.774,259.260165,4,20240724,sing
9.779,262.229442,4,20240724,sing
9.784,266.121204,4,20240724,sing
9.789,271.080022,4,20240724,sing
9.794,276.704871,4,20240724,sing
9.799,276.628383,4,20240724,sing
9.804,270.029321,4,20240724,sing
9.809,269.763106,4,20240724,sing
9.814,273.168709,4,20240724,sing
9.819,277.139406,4,20240724,sing
9.824,280.109341,4,20240724,sing
9.829,282.972058,4,20240724,sing
9.834,288.327852,4,20240724,sing
9.839,293.180158,4,20240724,sing
9.844,294.657035,4,20240724,sing
9.849,294.35036,4,20240724,sing
9.854,292.331682,4,20240724,sing
9.859,290.714504,4,20240724,sing
9.864,291.984085,4,20240724,sing
9.869,294.489352,4,20240724,sing
9.874,289.213388,4,20240724,sing
9.879,281.114709,4,20240724,sing
9.884,274.691254,4,20240724,sing
9.889,268.579413,4,20240724,sing
9.894,268.089282,4,20240724,sing
9.899,276.474092,4,20240724,sing
9.904,280.79186,4,20240724,sing
9.909,278.669624,4,20240724,sing
9.914,272.53369,4,20240724,sing
9.919,269.214198,4,20240724,sing
9.924,264.980782,4,20240724,sing
9.929,258.955243,4,20240724,sing
9.934,253.479983,4,20240724,sing
9.939,251.299142,4,20240724,sing
9.944,253.95395,4,20240724,sing
9.949,258.820672,4,20240724,sing
9.954,262.864275,4,20240724,sing
9.959,265.905814,4,20240724,sing
9.964,271.984124,4,20240724,sing
9.969,283.521938,4,20240724,sing
9.974,290.522871,4,20240724,sing
9.979,295.565207,4,20240724,sing
9.984,299.687516,4,20240724,sing
9.989,300.124243,4,20240724,sing
9.994,297.807911,4,20240724,sing
9.999,299.734781,4,20240724,sing
10.004,307.457149,4,20240724,sing
10.009,319.248515,4,20240724,sing
10.014,323.810363,4,20240724,sing
10.019,326.996595,4,20240724,sing
10.024,330.456957,4,20240724,sing
10.029,333.051304,4,20240724,sing
10.034,333.76537,4,20240724,sing
10.039,333.068176,4,20240724,sing
10.044,331.963622,4,20240724,sing
10.049,331.022757,4,20240724,sing
10.054,330.310443,4,20240724,sing
10.059,329.816846,4,20240724,sing
10.064,329.528931,4,20240724,sing
10.069,329.171354,4,20240724,sing
10.074,328.551283,4,20240724,sing
10.079,328.106665,4,20240724,sing
10.084,327.950519,4,20240724,sing
10.089,327.803729,4,20240724,sing
10.094,327.428297,4,20240724,sing
10.099,326.720172,4,20240724,sing
10.104,325.604689,4,20240724,sing
10.109,324.373302,4,20240724,sing
10.114,323.572479,4,20240724,sing
10.119,323.373285,4,20240724,sing
10.124,323.824263,4,20240724,sing
10.129,324.836189,4,20240724,sing
10.134,325.89096,4,20240724,sing
10.139,326.975806,4,20240724,sing
10.144,328.434361,4,20240724,sing
10.149,329.52887,4,20240724,sing
10.154,329.117701,4,20240724,sing
10.159,328.645469,4,20240724,sing
10.164,329.817594,4,20240724,sing
10.169,331.623647,4,20240724,sing
10.174,332.579569,4,20240724,sing
10.179,332.53402,4,20240724,sing
10.184,331.613461,4,20240724,sing
10.189,330.17129,4,20240724,sing
10.194,329.12112,4,20240724,sing
10.244,265.928967,4,20240724,sing
10.249,265.100034,4,20240724,sing
10.254,266.841352,4,20240724,sing
10.259,272.030853,4,20240724,sing
10.264,289.5502,4,20240724,sing
10.269,308.641573,4,20240724,sing
10.274,311.634605,4,20240724,sing
10.279,312.023613,4,20240724,sing
10.284,310.9614,4,20240724,sing
10.289,309.617157,4,20240724,sing
10.294,308.481112,4,20240724,sing
10.299,307.474077,4,20240724,sing
10.304,306.846203,4,20240724,sing
10.309,306.675107,4,20240724,sing
10.314,306.480207,4,20240724,sing
10.319,306.081473,4,20240724,sing
10.324,305.968863,4,20240724,sing
10.329,306.520776,4,20240724,sing
10.334,307.736926,4,20240724,sing
10.339,309.304041,4,20240724,sing
10.344,310.67973,4,20240724,sing
10.349,311.642644,4,20240724,sing
10.354,312.516276,4,20240724,sing
10.359,313.667468,4,20240724,sing
10.364,315.245724,4,20240724,sing
10.369,317.384798,4,20240724,sing
10.374,319.81177,4,20240724,sing
10.379,320.999612,4,20240724,sing
10.384,320.785099,4,20240724,sing
10.389,320.09503,4,20240724,sing
10.394,319.482216,4,20240724,sing
10.399,319.66638,4,20240724,sing
10.404,320.672142,4,20240724,sing
10.409,321.751624,4,20240724,sing
10.414,321.643928,4,20240724,sing
10.419,321.07912,4,20240724,sing
10.424,320.921038,4,20240724,sing
10.429,321.02036,4,20240724,sing
10.434,320.71734,4,20240724,sing
10.439,319.392763,4,20240724,sing
10.444,317.031875,4,20240724,sing
10.449,314.177165,4,20240724,sing
10.454,310.962466,4,20240724,sing
10.459,307.883254,4,20240724,sing
10.464,305.157771,4,20240724,sing
10.469,302.645657,4,20240724,sing
10.474,300.858644,4,20240724,sing
10.479,299.166488,4,20240724,sing
10.484,297.130159,4,20240724,sing
10.489,295.798167,4,20240724,sing
10.494,295.180678,4,20240724,sing
10.499,294.90362,4,20240724,sing
10.504,295.163899,4,20240724,sing
10.509,295.788384,4,20240724,sing
10.514,296.56738,4,20240724,sing
10.519,297.680373,4,20240724,sing
10.524,299.671885,4,20240724,sing
10.529,302.146613,4,20240724,sing
10.534,303.921004,4,20240724,sing
10.539,305.56981,4,20240724,sing
10.544,307.831501,4,20240724,sing
10.549,309.805919,4,20240724,sing
10.554,310.477291,4,20240724,sing
10.559,310.427486,4,20240724,sing
10.564,310.037866,4,20240724,sing
10.569,309.268548,4,20240724,sing
10.574,307.713295,4,20240724,sing
10.579,305.618846,4,20240724,sing
10.584,304.391514,4,20240724,sing
10.589,303.802146,4,20240724,sing
10.594,303.052971,4,20240724,sing
10.599,300.869661,4,20240724,sing
10.604,298.472241,4,20240724,sing
10.609,297.042629,4,20240724,sing
10.614,295.735876,4,20240724,sing
10.619,294.870369,4,20240724,sing
10.624,294.438264,4,20240724,sing
10.629,294.298919,4,20240724,sing
10.634,294.507058,4,20240724,sing
10.639,294.947671,4,20240724,sing
10.644,295.606584,4,20240724,sing
10.649,296.663143,4,20240724,sing
10.654,298.303706,4,20240724,sing
10.659,300.327292,4,20240724,sing
10.664,302.317206,4,20240724,sing
10.669,303.773361,4,20240724,sing
10.674,304.526571,4,20240724,sing
10.679,304.977688,4,20240724,sing
10.684,305.784893,4,20240724,sing
10.689,307.090118,4,20240724,sing
10.694,308.329193,4,20240724,sing
10.699,309.407455,4,20240724,sing
10.704,310.396868,4,20240724,sing
10.709,311.247621,4,20240724,sing
10.714,311.966799,4,20240724,sing
10.719,312.61039,4,20240724,sing
10.724,313.228188,4,20240724,sing
10.729,313.895092,4,20240724,sing
10.734,314.530081,4,20240724,sing
10.739,315.133281,4,20240724,sing
10.744,316.148902,4,20240724,sing
10.749,317.322899,4,20240724,sing
10.754,317.048931,4,20240724,sing
10.759,315.615064,4,20240724,sing
10.764,314.328244,4,20240724,sing
10.769,313.815444,4,20240724,sing
10.774,314.505242,4,20240724,sing
10.779,316.718918,4,20240724,sing
10.784,320.426284,4,20240724,sing
10.789,327.011891,4,20240724,sing
10.794,334.641401,4,20240724,sing
10.799,338.680504,4,20240724,sing
10.804,341.732545,4,20240724,sing
10.809,344.528626,4,20240724,sing
10.814,347.266321,4,20240724,sing
10.819,350.860571,4,20240724,sing
10.824,355.790966,4,20240724,sing
10.829,359.447472,4,20240724,sing
10.834,362.110687,4,20240724,sing
10.839,364.827028,4,20240724,sing
10.844,367.371139,4,20240724,sing
10.849,369.777247,4,20240724,sing
10.854,372.332062,4,20240724,sing
10.859,374.426165,4,20240724,sing
10.864,375.494076,4,20240724,sing
10.869,375.822117,4,20240724,sing
10.874,375.711913,4,20240724,sing
10.879,375.169989,4,20240724,sing
10.884,374.193577,4,20240724,sing
10.889,372.797829,4,20240724,sing
10.894,370.908667,4,20240724,sing
10.899,368.481729,4,20240724,sing
10.904,365.412059,4,20240724,sing
10.909,361.193203,4,20240724,sing
10.914,356.15341,4,20240724,sing
10.919,352.93423,4,20240724,sing
10.924,351.336925,4,20240724,sing
10.929,350.000816,4,20240724,sing
10.934,348.052674,4,20240724,sing
10.939,346.37981,4,20240724,sing
10.944,346.054675,4,20240724,sing
10.949,346.777099,4,20240724,sing
10.954,348.256563,4,20240724,sing
10.959,350.866411,4,20240724,sing
10.964,353.982252,4,20240724,sing
10.969,355.577322,4,20240724,sing
10.974,355.640474,4,20240724,sing
10.979,354.16513,4,20240724,sing
10.984,352.313757,4,20240724,sing
10.989,352.451538,4,20240724,sing
10.994,353.899317,4,20240724,sing
10.999,355.930018,4,20240724,sing
11.004,358.560696,4,20240724,sing
11.009,364.139256,4,20240724,sing
11.014,360.765573,4,20240724,sing
11.019,357.517455,4,20240724,sing
11.024,356.548264,4,20240724,sing
11.029,357.336142,4,20240724,sing
11.034,359.305633,4,20240724,sing
11.039,359.534779,4,20240724,sing
11.044,357.803619,4,20240724,sing
11.049,358.622673,4,20240724,sing
11.054,361.628133,4,20240724,sing
11.059,364.929616,4,20240724,sing
11.064,365.598548,4,20240724,sing
11.069,350.877849,4,20240724,sing
11.074,349.217674,4,20240724,sing
11.079,349.181402,4,20240724,sing
11.084,349.129267,4,20240724,sing
11.089,348.874349,4,20240724,sing
11.094,319.580775,4,20240724,sing
11.099,318.040818,4,20240724,sing
11.104,316.490944,4,20240724,sing
11.109,315.171475,4,20240724,sing
11.114,313.455461,4,20240724,sing
11.119,310.965136,4,20240724,sing
11.124,308.474298,4,20240724,sing
11.129,306.699572,4,20240724,sing
11.134,304.779721,4,20240724,sing
11.139,303.250658,4,20240724,sing
11.144,302.881546,4,20240724,sing
11.149,303.234232,4,20240724,sing
11.154,303.511566,4,20240724,sing
11.159,303.224287,4,20240724,sing
11.164,302.345344,4,20240724,sing
11.169,301.557942,4,20240724,sing
11.174,302.150945,4,20240724,sing
11.179,304.087362,4,20240724,sing
11.184,306.538902,4,20240724,sing
11.189,309.453645,4,20240724,sing
11.194,312.147927,4,20240724,sing
11.199,313.553612,4,20240724,sing
11.204,314.537392,4,20240724,sing
11.209,316.032986,4,20240724,sing
11.214,318.591827,4,20240724,sing
11.219,322.537223,4,20240724,sing
11.224,327.38393,4,20240724,sing
11.229,330.886179,4,20240724,sing
11.234,332.70414,4,20240724,sing
11.239,333.315776,4,20240724,sing
11.244,332.689223,4,20240724,sing
11.249,331.16948,4,20240724,sing
11.254,329.037458,4,20240724,sing
11.259,326.143722,4,20240724,sing
11.264,322.610567,4,20240724,sing
11.269,319.525893,4,20240724,sing
11.274,316.69406,4,20240724,sing
11.279,313.089002,4,20240724,sing
11.284,309.055026,4,20240724,sing
11.289,306.18272,4,20240724,sing
11.294,303.485762,4,20240724,sing
11.299,297.824267,4,20240724,sing
11.304,292.683231,4,20240724,sing
11.309,290.443252,4,20240724,sing
11.314,288.122927,4,20240724,sing
11.319,285.133759,4,20240724,sing
11.324,283.360311,4,20240724,sing
11.329,282.515022,4,20240724,sing
11.334,281.665635,4,20240724,sing
11.339,280.840772,4,20240724,sing
11.344,280.494826,4,20240724,sing
11.349,280.729335,4,20240724,sing
11.354,280.865702,4,20240724,sing
11.359,280.172672,4,20240724,sing
11.364,278.452611,4,20240724,sing
11.369,276.608803,4,20240724,sing
11.374,277.316584,4,20240724,sing
11.379,279.748958,4,20240724,sing
11.384,282.218591,4,20240724,sing
11.389,285.672317,4,20240724,sing
11.394,292.370264,4,20240724,sing
11.399,300.969621,4,20240724,sing
11.404,302.331128,4,20240724,sing
11.409,300.037564,4,20240724,sing
11.414,297.203429,4,20240724,sing
11.419,294.160823,4,20240724,sing
11.424,290.838543,4,20240724,sing
11.429,285.135489,4,20240724,sing
11.434,276.13369,4,20240724,sing
11.439,272.792024,4,20240724,sing
11.444,271.596596,4,20240724,sing
11.449,270.143697,4,20240724,sing
11.454,266.530592,4,20240724,sing
11.459,265.11318,4,20240724,sing
11.464,265.292935,4,20240724,sing
11.469,265.166835,4,20240724,sing
11.474,255.961256,4,20240724,sing
11.479,253.166911,4,20240724,sing
11.484,253.482358,4,20240724,sing
11.489,264.658483,4,20240724,sing
11.494,284.905362,4,20240724,sing
11.499,289.197118,4,20240724,sing
11.504,312.285567,4,20240724,sing
11.509,316.14712,4,20240724,sing
11.514,321.420113,4,20240724,sing
11.519,325.722425,4,20240724,sing
11.524,329.915642,4,20240724,sing
11.529,334.358504,4,20240724,sing
11.534,338.402187,4,20240724,sing
11.539,342.145174,4,20240724,sing
11.544,344.50025,4,20240724,sing
11.549,344.760054,4,20240724,sing
11.554,343.343023,4,20240724,sing
11.559,340.673938,4,20240724,sing
11.564,338.083457,4,20240724,sing
11.569,336.470226,4,20240724,sing
11.574,335.210265,4,20240724,sing
11.579,333.786663,4,20240724,sing
11.584,332.202325,4,20240724,sing
11.589,330.771043,4,20240724,sing
11.594,329.399592,4,20240724,sing
11.599,328.118423,4,20240724,sing
11.604,327.903634,4,20240724,sing
11.609,329.303433,4,20240724,sing
11.614,330.99536,4,20240724,sing
11.619,332.439782,4,20240724,sing
11.624,333.826071,4,20240724,sing
11.629,335.274023,4,20240724,sing
11.634,336.793275,4,20240724,sing
11.639,338.361082,4,20240724,sing
11.644,339.928797,4,20240724,sing
11.649,341.090847,4,20240724,sing
11.654,339.066596,4,20240724,sing
11.659,336.302132,4,20240724,sing
11.664,334.831348,4,20240724,sing
11.669,333.615137,4,20240724,sing
11.674,332.013746,4,20240724,sing
11.679,330.002536,4,20240724,sing
11.684,327.720654,4,20240724,sing
11.689,324.877851,4,20240724,sing
11.694,321.416702,4,20240724,sing
11.699,319.189941,4,20240724,sing
11.704,318.028229,4,20240724,sing
11.709,316.572821,4,20240724,sing
11.714,315.369123,4,20240724,sing
11.719,315.597521,4,20240724,sing
11.724,315.816946,4,20240724,sing
11.729,315.172888,4,20240724,sing
11.734,314.864347,4,20240724,sing
