time,f0,speaker,date,condition
0.7,122.866075,1,20240724,sing
0.705,124.766991,1,20240724,sing
0.71,126.457649,1,20240724,sing
0.715,127.733655,1,20240724,sing
0.72,128.752687,1,20240724,sing
0.725,130.166963,1,20240724,sing
0.73,134.151405,1,20240724,sing
0.735,139.53467,1,20240724,sing
0.74,142.777409,1,20240724,sing
0.745,145.186175,1,20240724,sing
0.75,146.813039,1,20240724,sing
0.755,148.215877,1,20240724,sing
0.76,149.798565,1,20240724,sing
0.765,151.776978,1,20240724,sing
0.77,154.224003,1,20240724,sing
0.775,156.532069,1,20240724,sing
0.78,158.455964,1,20240724,sing
0.785,160.655268,1,20240724,sing
0.79,162.648099,1,20240724,sing
0.795,164.721776,1,20240724,sing
0.8,167.014986,1,20240724,sing
0.805,168.924348,1,20240724,sing
0.81,170.23537,1,20240724,sing
0.815,171.758476,1,20240724,sing
0.82,173.956074,1,20240724,sing
0.825,175.954254,1,20240724,sing
0.83,176.177112,1,20240724,sing
0.835,175.734127,1,20240724,sing
0.84,175.740214,1,20240724,sing
0.845,176.276303,1,20240724,sing
0.85,177.122004,1,20240724,sing
0.855,177.807944,1,20240724,sing
0.86,177.835087,1,20240724,sing
0.865,177.427705,1,20240724,sing
0.87,177.169688,1,20240724,sing
0.875,176.852575,1,20240724,sing
0.88,176.079446,1,20240724,sing
0.885,175.212775,1,20240724,sing
0.89,174.728837,1,20240724,sing
0.895,174.556874,1,20240724,sing
0.9,174.527992,1,20240724,sing
0.905,174.624562,1,20240724,sing
0.91,174.927479,1,20240724,sing
0.915,175.427195,1,20240724,sing
0.92,175.958092,1,20240724,sing
0.925,176.310347,1,20240724,sing
0.93,176.364071,1,20240724,sing
0.935,176.167753,1,20240724,sing
0.94,175.846847,1,20240724,sing
0.945,175.546264,1,20240724,sing
0.95,175.365078,1,20240724,sing
0.955,175.304256,1,20240724,sing
0.96,175.274734,1,20240724,sing
0.965,175.155112,1,20240724,sing
0.97,174.893022,1,20240724,sing
0.975,174.535689,1,20240724,sing
0.98,174.185071,1,20240724,sing
0.985,173.909839,1,20240724,sing
0.99,173.727206,1,20240724,sing
0.995,173.603144,1,20240724,sing
1,173.495888,1,20240724,sing
1.005,173.374634,1,20240724,sing
1.01,173.212319,1,20240724,sing
1.015,173.035651,1,20240724,sing
1.02,172.960464,1,20240724,sing
1.025,173.005892,1,20240724,sing
1.03,173.014827,1,20240724,sing
1.035,172.859859,1,20240724,sing
1.04,172.605842,1,20240724,sing
1.045,172.379392,1,20240724,sing
1.05,172.200063,1,20240724,sing
1.055,171.983774,1,20240724,sing
1.06,171.628077,1,20240724,sing
1.065,171.108236,1,20240724,sing
1.07,170.305823,1,20240724,sing
1.075,168.95467,1,20240724,sing
1.08,167.447501,1,20240724,sing
1.085,166.595982,1,20240724,sing
1.09,166.656498,1,20240724,sing
1.095,167.450422,1,20240724,sing
1.1,168.566284,1,20240724,sing
1.105,169.56662,1,20240724,sing
1.11,170.16489,1,20240724,sing
1.115,169.412351,1,20240724,sing
1.12,167.645664,1,20240724,sing
1.125,166.873413,1,20240724,sing
